"Campaign","Sitelink text","Final URL","Description line 1","Description line 2","Status"
"脳死AI金買取","金買取9社を比較","https://kaitori.hakobu-family.com/manekiya-otakaraya/?utm_source=google&utm_medium=cpc&utm_campaign=noshiai_gold_direct&utm_content=sitelink_comparison#comparison","手数料や査定条件を横並び比較","最終手取りで違いを確認","Enabled"
"脳死AI金買取","あなたに合う査定先","https://kaitori.hakobu-family.com/manekiya-otakaraya/?utm_source=google&utm_medium=cpc&utm_campaign=noshiai_gold_direct&utm_content=sitelink_recommend#recommend","売却方法や条件から選ぶ","最初に査定する店を判断","Enabled"
"脳死AI金買取","電話予約で買取額30%UP","https://kaitori.hakobu-family.com/manekiya-otakaraya/?utm_source=google&utm_medium=cpc&utm_campaign=noshiai_gold_direct&utm_content=sitelink_phone_reservation#phone-reservation","電話予約限定の特典を確認","条件を見てから査定予約","Enabled"
"脳死AI金買取","査定から現金化まで","https://kaitori.hakobu-family.com/manekiya-otakaraya/?utm_source=google&utm_medium=cpc&utm_campaign=noshiai_gold_direct&utm_content=sitelink_flow#flow","申込から売却までの流れ","店頭・出張・宅配を確認","Enabled"
"脳死AI金買取","損しない売却のコツ","https://kaitori.hakobu-family.com/manekiya-otakaraya/?utm_source=google&utm_medium=cpc&utm_campaign=noshiai_gold_direct&utm_content=sitelink_selling_tips#selling-tips","手数料・純度・重さを確認","査定前に見るべきポイント","Enabled"
"脳死AI金買取","金買取のよくある質問","https://kaitori.hakobu-family.com/manekiya-otakaraya/?utm_source=google&utm_medium=cpc&utm_campaign=noshiai_gold_direct&utm_content=sitelink_faq#faq","売る時期や税金の疑問を解消","不安を整理してから査定へ","Enabled"
"脳死AI金買取｜状況探索","金買取9社を比較","https://kaitori.hakobu-family.com/manekiya-otakaraya/?utm_source=google&utm_medium=cpc&utm_campaign=noshiai_gold_situation&utm_content=sitelink_comparison#comparison","手数料や査定条件を横並び比較","最終手取りで違いを確認","Enabled"
"脳死AI金買取｜状況探索","あなたに合う査定先","https://kaitori.hakobu-family.com/manekiya-otakaraya/?utm_source=google&utm_medium=cpc&utm_campaign=noshiai_gold_situation&utm_content=sitelink_recommend#recommend","売却方法や条件から選ぶ","最初に査定する店を判断","Enabled"
"脳死AI金買取｜状況探索","電話予約で買取額30%UP","https://kaitori.hakobu-family.com/manekiya-otakaraya/?utm_source=google&utm_medium=cpc&utm_campaign=noshiai_gold_situation&utm_content=sitelink_phone_reservation#phone-reservation","電話予約限定の特典を確認","条件を見てから査定予約","Enabled"
"脳死AI金買取｜状況探索","査定から現金化まで","https://kaitori.hakobu-family.com/manekiya-otakaraya/?utm_source=google&utm_medium=cpc&utm_campaign=noshiai_gold_situation&utm_content=sitelink_flow#flow","申込から売却までの流れ","店頭・出張・宅配を確認","Enabled"
"脳死AI金買取｜状況探索","損しない売却のコツ","https://kaitori.hakobu-family.com/manekiya-otakaraya/?utm_source=google&utm_medium=cpc&utm_campaign=noshiai_gold_situation&utm_content=sitelink_selling_tips#selling-tips","手数料・純度・重さを確認","査定前に見るべきポイント","Enabled"
"脳死AI金買取｜状況探索","金買取のよくある質問","https://kaitori.hakobu-family.com/manekiya-otakaraya/?utm_source=google&utm_medium=cpc&utm_campaign=noshiai_gold_situation&utm_content=sitelink_faq#faq","売る時期や税金の疑問を解消","不安を整理してから査定へ","Enabled"
