observed_date,source,source_type,model,condition_or_basis,amount_jpy,url,usage
2026-09-02,ブラリバ,買取実績,16610,2026-08-17 状態B,1438900,https://brandrevalue.com/cat/watch/purchase-watch/rolex/submariner/16610,現物確認後モデル値
2026-09-02,なんぼや,買取実績,16610,Bランク,1309000,https://nanboya.com/tokei-kaitori/rolex/submarina/,比較中間値
2026-09-02,大黒屋,買取参考実績,16610,2026-08-21 条件詳細不明,900000,https://kaitori.e-daikoku.com/brand/rolex/submariner/ex/,下振れ確認
2026-09-02,ゴールドプラザ,買取実績,16610T,2026-07-13 M番 Aランク,1020000,https://goldplaza.jp/category/watch/rolex/submariner,実績レンジ確認
2026-09-02,ゴールドプラザ,買取実績,16610,2025-11-16 ABランク,1180000,https://goldplaza.jp/category/watch/rolex/submariner,実績レンジ確認
2026-09-02,ピアゾ,状態別相場,16610,2026-08-18更新 良品,860000-1010000,https://piazo.jp/rolex/submariner/ref16610/,状態別レンジ
2026-09-02,ピアゾ,状態別相場,16610,2026-08-18更新 美品,1010000-1160000,https://piazo.jp/rolex/submariner/ref16610/,状態別レンジ
2026-09-02,ピアゾ,状態別相場,16610,2026-08-18更新 新品同様,1160000-1310000,https://piazo.jp/rolex/submariner/ref16610/,状態別レンジ
2026-09-02,コミット銀座,参考上限,16610,2026-07-26更新 製造年代別中古,1400000-1600000,https://commit-watch.co.jp/blogs/kaitori/kb16610,上限妥当性
2026-09-02,ブラリバ,参考価格,16610,2026-08-31更新 条件付き中古,1550000,https://brandrevalue.com/cat/watch/rolex/rolex-submariner/16610,上限妥当性
2026-09-02,ヒカカク！,公開査定情報,16610,比較ページ,1200000-1500000,https://hikakaku.com/category/all-category/watch/items/127258/,比較モデル参考
