ref,model,appraisal_date,condition,dealer,price_yen,accessories,source_url,use_status,note
16610,サブマリーナ デイト,2026-03-12,中古品・使用感あり,買虎,1500000,記載なし,https://hikakaku.com/category/all-category/watch/items/127258/,採用候補,代表実績
16610,サブマリーナ デイト,2026-02-17,中古品・使用感あり,買虎,1450000,記載なし,https://hikakaku.com/category/all-category/watch/items/127258/,採用候補,比較補助
16610,サブマリーナ デイト,2026-02-16,中古品・使用感あり,エステメ,1330000,記載なし,https://hikakaku.com/category/all-category/watch/items/127258/,採用候補,比較補助
16233,デイトジャスト,2024-02-12,中古美品,買取屋アップ,650000,記載なし,https://hikakaku.com/category/all-category/watch/items/676274/,採用候補,過去事例として使用
16233,デイトジャスト,2021-10-27,故障品,買取屋アップ,450000,記載なし,https://hikakaku.com/category/all-category/watch/items/676274/,参考,状態差の説明用
16233,デイトジャスト,2025-11-17,中古美品,エステメ,2080000,記載なし,https://hikakaku.com/category/all-category/watch/items/676274/,除外,ページ見出し841000円や近接実績から大きく乖離
14000,エアキング,2026-08-08,中古美品,エステメ,780000,記載なし,https://hikakaku.com/category/all-category/watch/items/2847292/,採用候補,代表実績
14000,エアキング,2025-04-23,中古美品,買虎,680000,記載なし,https://hikakaku.com/category/all-category/watch/items/2847292/,採用候補,比較補助
14000,エアキング,2025-04-22,中古美品,エステメ,600000,記載なし,https://hikakaku.com/category/all-category/watch/items/2847292/,採用候補,比較補助
14060,サブマリーナ,2024-05-31,中古品・使用感あり,買虎,1200000,記載なし,https://hikakaku.com/category/all-category/watch/items/3408826/,採用候補,代表実績
14060,サブマリーナ,2024-05-28,中古品・使用感あり,エステメ,1270000,記載なし,https://hikakaku.com/category/all-category/watch/items/3408826/,採用候補,比較補助
14060,サブマリーナ,2023-10-09,中古品・使用感あり,エステメ,1250000,記載なし,https://hikakaku.com/category/all-category/watch/items/3408826/,参考,時期差あり
16570,エクスプローラーII ホワイト,2025-02-08,中古美品,エステメ大阪支店,1100000,記載なし,https://hikakaku.com/category/all-category/watch/items/2657132/,採用候補,代表実績
16570,エクスプローラーII ホワイト,2025-01-28,中古美品,買取屋アップ,850000,記載なし,https://hikakaku.com/category/all-category/watch/items/2657132/,採用候補,比較補助
16570,エクスプローラーII ホワイト,2023-10-11,中古美品,エステメ大阪支店,1050000,記載なし,https://hikakaku.com/category/all-category/watch/items/2657132/,参考,時期差あり
16520,デイトナ,2025-06-12,中古品・使用感あり,シグマ,3000000,記載なし,https://hikakaku.com/category/all-category/watch/items/288712/,採用候補,代表実績
16520,デイトナ,2025-06-12,中古品・使用感あり,エステメ大阪支店,2850000,記載なし,https://hikakaku.com/category/all-category/watch/items/288712/,採用候補,比較補助
16520,デイトナ,2025-05-18,中古品・使用感あり,エステメ,3600000,記載なし,https://hikakaku.com/category/all-category/watch/items/288712/,採用候補,比較補助
116520,デイトナ ブラック,2026-03-06,中古美品,アサカの買取,3750000,記載なし,https://hikakaku.com/category/all-category/watch/high_brand_watch/rolex-men/daytona-men/assessment_achievements/,採用候補,代表実績
116520,デイトナ ブラック,2024-07-25,中古美品,買虎,3300000,記載なし,https://hikakaku.com/category/all-category/watch/items/125921/,採用候補,比較補助
116520,デイトナ ブラック,2024-12-05,目立つ傷がある,買取天国ティキソルtikisol,2000000,記載なし,https://hikakaku.com/category/all-category/watch/items/125921/,参考,状態差の説明用
116520,デイトナ ブラック,2022-02-28,中古美品,エステメ,42000000,記載なし,https://hikakaku.com/category/all-category/watch/items/125921/,除外,桁誤りとみられる
16700,GMTマスター N番 赤青ベゼル,2025-11-13,中古美品,買虎,1800000,記載なし,https://hikakaku.com/category/all-category/watch/high_brand_watch/rolex-men/gmt-master/assessment_achievements/,採用候補,代表実績
16700,GMTマスター N番 赤青ベゼル,2025-11-09,中古美品,銀座パリス 梅田店,1700000,記載なし,https://hikakaku.com/category/all-category/watch/high_brand_watch/rolex-men/gmt-master/assessment_achievements/,採用候補,比較補助
16700,GMTマスター,2025-10-13,中古美品,エステメ,1650000,記載なし,https://hikakaku.com/category/all-category/watch/high_brand_watch/rolex-men/gmt-master/assessment_achievements/,採用候補,比較補助
